Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Date listed (MM/DD/YYYY),Property price (USD),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country,Latitude,Longitude,Zestimate (USD)
"https://www.zillow.com/homedetails/2324-Lynnhaven-Rd-Fort-Worth-TX-76103/163422136_zpid/","","House for sale","Single Family","4","06/20/2025","369000","1932","sqft","190.99","0.36","acres","3","2","2324 Lynnhaven Rd","Fort Worth","76103","TX","USA","32.74472","-97.25282","363600"
"https://www.zillow.com/homedetails/3640-Brookland-Ave-Fort-Worth-TX-76116/29150285_zpid/","","House for sale","Single Family","0","06/24/2025","375000","1655","sqft","226.59","0.25","acres","3","2","3640 Brookland Ave","Fort Worth","76116","TX","USA","32.71873","-97.49809","366700"
"https://www.zillow.com/homedetails/5228-Hilcroft-Rd-Fort-Worth-TX-76244/79958223_zpid/","","House for sale","Single Family","0","06/24/2025","345900","1799","sqft","192.27","5488.56","sqft","3","2","5228 Hilcroft Rd","Fort Worth","76244","TX","USA","32.91919","-97.27064","342100"
"https://www.zillow.com/homedetails/1229-E-Harvey-Ave-Fort-Worth-TX-76104/97727403_zpid/","","House for sale","Single Family","22","06/02/2025","249950","1684","sqft","148.43","6490.44","sqft","3","2","1229 E Harvey Ave","Fort Worth","76104","TX","USA","32.72023","-97.311134","249300"
"https://www.zillow.com/homedetails/5921-Hudson-Sail-Cir-Fort-Worth-TX-76179/352683031_zpid/","","House for sale","Single Family","42","05/13/2025","500000","4837","sqft","103.37","1.52","acres","5","5","5921 Hudson Sail Cir","Fort Worth","76179","TX","USA","32.95505","-97.495575","496600"
"https://www.zillow.com/homedetails/7516-Deaver-Dr-North-Richland-Hills-TX-76180/28957396_zpid/","","House for sale","Single Family","4","06/20/2025","289500","1324","sqft","218.66","9670.32","sqft","3","2","7516 Deaver Dr","North Richland Hills","76180","TX","USA","32.85489","-97.21928","281100"
"https://www.zillow.com/homedetails/321-Thompson-Dr-Saginaw-TX-76179/29071248_zpid/","","House for sale","Single Family","0","06/24/2025","250000","1245","sqft","200.8","6982.67","sqft","3","2","321 Thompson Dr","Saginaw","76179","TX","USA","32.856007","-97.36711","221900"
"https://www.zillow.com/homedetails/912-Judd-St-Fort-Worth-TX-76104/29092309_zpid/","","House for sale","Single Family","17","06/07/2025","275900","1413","sqft","195.26","6011.28","sqft","3","2","912 Judd St","Fort Worth","76104","TX","USA","32.7119","-97.31777",""
"https://www.zillow.com/homedetails/7432-Beckwood-Dr-Fort-Worth-TX-76112/29029760_zpid/","","House for sale","Single Family","5","06/19/2025","299000","1932","sqft","154.76","8319.96","sqft","4","2","7432 Beckwood Dr","Fort Worth","76112","TX","USA","32.73819","-97.19665","297100"
"https://www.zillow.com/homedetails/3905-Chestnut-St-Fort-Worth-TX-76137/29119941_zpid/","","House for sale","Single Family","4","06/20/2025","380000","1746","sqft","217.64","8929.8","sqft","3","2","3905 Chestnut St","Fort Worth","76137","TX","USA","32.864365","-97.29961","374400"
